Designator,Footprint,Quantity,Value,LCSC Part #
"C0, C1, C2, C3, C4, C41, C5, C6",C1206,8,10uF,C13585
"C101, C106, C108, C109, C110, C111, C112, C113, C114, C21",C0402,10,100nF,C307331
"C102, C105, C107, C31, C32",C0402,5,1uF,C52923
"C103, C104",C0402,2,15pF,C1548
C115,C0402,1,1nF,C1523
C33,C0402,1,10nF,C15195
"C42, C43, C501, C601",C0603,4,100nF,C14663
"C44, C45",C0805,2,22uF,C45783
C46,C0402,1,100pF,C1546
FPC1,FPC-SMD_20P-P0.50_XUNPU_FPC-05F-20PH20,1,~,C2856803
"FPC2, FPC3",FPC-SMD_6P-P0.50_XUNPU_FPC-05F-6PH20,2,~,C2856796
L1,IND-SMD_L4.0-W4.0,1,15uH,C602033
L2,L0805,1,10uH,C1046
LED1,LED-ARRAY-SMD_4P-L1.6-W1.5-BR_XL-1615RGBC-RF,1,~,C965840
"Q1, Q3, Q5, Q7",DFN-8_L3.0-W3.0-P0.65-BL-MOSFET_shifted,4,~,C315567
"Q2, Q4, Q6, Q8",DFN-8_L3.0-W3.0-P0.65-BL-MOSFET,4,~,C541711
"R1, R2, R3, R4",R1206 Shunt with Kelvin connections,4,10mΩ,C7467248
"R101, R102, R201, R202, R301, R302, R401, R402",R0603,8,4.7Ω,C23164
"R11, R12, R13, R19",R0402,4,10kΩ,C25744
"R15, R16, R17",R0402,3,1.5kΩ,C25867
"R18, R42",R0402,2,100kΩ,C25741
R41,R0402,1,49.9Ω,C25120
R43,R0402,1,13.3kΩ,C2974007
"R501, R601",R0603,2,10Ω,C22859
U1,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,~,C431633
U2,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,~,C2058366
U3,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BL,1,~,C2969807
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,~,C191884
"U5, U6",QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,2,~,C20416138
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,16MHz,C13738
