Designator,Mid X,Mid Y,Rotation,Layer
C0,29.6,-60.45,270.0,top
C1,27.2,-60.45,90.0,top
C101,20.65,-39.25,0.0,bottom
C102,20.65,-40.4,0.0,bottom
C103,35.5,-43.6,0.0,top
C104,35.45,-38.35,180.0,top
C105,22.35,-30.9,270.0,top
C106,24.588382,-31.696935,180.0,top
C107,22.4,-44.0,90.0,bottom
C108,20.65,-43.85,180.0,bottom
C109,35.05,-36.25,0.0,top
C110,32.1,-31.6,0.0,top
C111,31.5,-45.4,90.0,top
C112,20.5,-44.45,180.0,top
C113,21.15,-33.3,270.0,top
C114,35.55,-30.8,270.0,top
C115,19.85,-33.75,270.0,top
C2,24.25,-32.65,0.0,bottom
C21,30.975028,-42.053121,180.0,bottom
C3,20.5,-48.75,90.0,bottom
C31,33.3,-35.45,0.0,bottom
C32,36.1,-31.95,270.0,bottom
C33,34.25,-30.25,0.0,bottom
C4,20.45,-32.2,90.0,bottom
C501,21.0,-49.15,90.0,top
C601,28.95,-49.35,0.0,top
D1,30.95,-32.65,90.0,bottom
D2,35.0,-24.2,90.0,top
D3,21.15,-24.25,90.0,top
FPC1,28.0,-26.0875,180.0,bottom
FPC2,33.119,-58.7,90.0,top
FPC3,22.8375,-58.7,270.0,top
L2,20.45,-36.8,270.0,bottom
L3,28.3,-29.7,180.0,bottom
LED1,34.05,-33.65,270.0,top
Q1,20.8,-57.43,180.0,bottom
Q2,21.525,-61.8525,270.0,bottom
Q3,26.2,-57.4,180.0,bottom
Q4,25.825,-61.875,90.0,bottom
Q5,29.75,-57.4,180.0,bottom
Q6,30.1225,-61.8525,270.0,bottom
Q7,35.225,-57.43,180.0,bottom
Q8,34.525,-61.85,90.0,bottom
R1,20.5,-53.8,90.0,bottom
R101,23.35,-52.85,270.0,top
R102,21.05,-52.3,90.0,top
R11,34.45,-30.8,270.0,top
R12,20.6,-42.75,180.0,bottom
R13,20.6,-41.55,0.0,bottom
R14,20.05,-26.25,90.0,top
R15,31.9,-33.0,180.0,top
R16,36.0,-33.8,270.0,top
R17,31.9,-34.05,0.0,top
R18,20.25,-30.2,180.0,top
R19,20.25,-31.3,0.0,top
R2,25.9,-53.85,90.0,bottom
R201,26.75,-52.85,270.0,top
R202,24.8,-52.85,90.0,top
R3,29.45,-53.85,90.0,bottom
R301,31.3,-53.05,270.0,top
R302,29.8035,-52.85,90.0,top
R4,34.9,-53.85,90.0,bottom
R401,34.6,-53.2,270.0,top
R402,33.15,-53.2,90.0,top
R5,22.25,-26.25,270.0,top
R501,21.7,-46.95,0.0,top
R6,33.95,-26.25,270.0,top
R601,29.55,-47.8,0.0,top
U1,26.25,-39.2,90.0,top
U2,31.0,-47.05,90.0,bottom
U3,33.85,-32.85,0.0,bottom
U5,24.95,-48.95,270.0,top
U6,33.1,-49.05,270.0,top
USB1,28.0,-27.6375,180.0,top
X1,34.95825,-40.95,90.0,top
