Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C0805,3,10nF,C1710
"C10, C11, C12, C13, C20, C21, C22, C8",C0603,8,100nF,C14663
"C14, C15, C16, C17, C23, C5",C1206,6,10uF,C13585
"C18, C19",C0603,2,30pF,C1658
C4,C0805,1,0.1uF,C49678
"C6, C7, C9",C0603,3,1uF,C15849
CN1,FPC-SMD_P0.50-16P_FGS-XJ-H2.0,1,~,C262665
"CN2, CN5",FPC-SMD_6P-P0.50_L3.8-W5.0,2,~,C530673
CN3,IDC-TH_8P-P2.54-H-R2-C4-S2.54,1,~,C9139
CN4,MICRO-USB-SMD_MICRONJ5P-1.0-1.25,1,~,C5160305
"D1, D2, D3",IN4148WS T4 SOD-323_L1.8-W1.3-LS2.5-RD,3,~,C2128
L1,L0805,1,300mΩ,C1017
L2,L0805,1,10uH,C1046
LED1,LED-ARRAY-SMD_4P-L1.6-W1.5-BR_XL-1615RGBC-RF,1,~,C965840
"Q1, Q2, Q3, Q4, Q5, Q6",AO4266E SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,6,~,C358681
"R1, R2, R3",R0805,3,500mW 10mΩ,C163089
"R10, R5, R6, R7, R8, R9",R0603,6,10Ω,C22859
"R11, R12, R13, R14",R0603,4,1.5kΩ,C22843
R20,R0603,1, 10kΩ,C25804
"R21, R22",R0603,2, 47kΩ,C25819
R4,R0603,1, 100kΩ,C25803
U1,STM32F103C8T6 LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,~,C8734
U2,INA4181A1 TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,~,C2058366
U3,FD6288T TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,~,C5804616
U4,AMS1117-3.3 SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,~,C6186
X1,CRYSTAL-SMD_L5.0-W3.2,1,~,C115962
