Designator,Mid X,Mid Y,Rotation,Layer
C1,61.67,-87.8,0.0,top
C10,55.1,-71.35,0.0,top
C11,57.9,-73.1,0.0,top
C12,67.0,-82.1,90.0,top
C13,66.85,-72.2,270.0,top
C14,52.95,-69.15,0.0,top
C15,53.2575,-84.05,0.0,top
C16,53.25,-86.5,0.0,top
C17,58.7,-60.8,180.0,top
C18,54.8,-73.05,180.0,top
C19,54.85,-81.9,0.0,top
C2,61.65,-85.75,0.0,top
C20,60.0,-62.85,0.0,top
C21,51.95,-88.5,180.0,top
C22,58.7,-96.75,90.0,top
C23,58.7,-58.45,180.0,top
C3,61.65,-83.8,0.0,top
C4,58.55,-91.95,270.0,top
C5,51.55,-117.9,270.0,top
C6,57.45,-70.3,270.0,top
C7,57.5,-67.35,180.0,top
C8,57.9,-87.25,0.0,top
C9,57.9,-85.6,0.0,top
CN1,59.0,-54.789,0.0,top
CN2,52.0,-65.15,270.0,top
CN3,58.919,-117.366,0.0,top
CN4,64.35,-61.075,90.0,top
CN5,52.0,-59.7,270.0,top
CN6,54.85,-61.3125,0.0,top
CN7,51.3,-52.8,0.0,top
CN8,66.7,-52.8,0.0,top
D1,65.65,-87.85,0.0,top
D2,65.65,-86.15,0.0,top
D3,65.65,-84.5,0.0,top
L1,57.1,-64.4,90.0,top
L2,58.2,-82.784,270.0,top
LED1,51.9,-76.275,0.0,top
Q1,54.1,-107.125375,90.0,top
Q2,54.1,-112.4,270.0,top
Q3,63.9,-107.125375,90.0,top
Q4,63.9,-112.374625,270.0,top
Q5,54.1,-101.9,90.0,top
Q6,63.9,-101.9,90.0,top
R1,59.0,-112.9,270.0,top
R10,61.9465,-96.5,180.0,top
R11,60.05,-64.65,180.0,top
R12,51.75,-74.4,180.0,top
R13,51.75,-72.85,180.0,top
R14,51.75,-71.1,0.0,top
R2,65.8,-118.6,180.0,top
R20,51.75,-80.35,0.0,top
R21,57.9,-88.8,0.0,top
R22,54.9,-88.45,0.0,top
R3,59.0,-101.2,90.0,top
R4,51.75,-81.85,180.0,top
R5,56.1,-98.5,180.0,top
R6,53.1,-98.5,0.0,top
R7,65.7,-97.5,90.0,top
R8,64.2,-97.2,90.0,top
R9,67.2,-97.5,270.0,top
U1,62.65,-77.45,270.0,top
U2,54.128875,-93.663314,0.0,top
U3,63.5,-92.225,270.0,top
U4,63.41,-68.7,180.0,top
X1,55.2,-77.45,270.0,top
