Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C16, C17, C18, C2, C4, C5, C6, C7",C0402,14,100nF,C60474
"C12, C20, C8",C0603,3,1uF,C15849
C19,C0402,1,10nF,C15195
"C72, C74",C0402,2,15pF,C1548
"D10, D12, D14, D16, D18, D8",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,6,~,C32677
L2,L0805,1,10uH,C1046
"R1, R2, R3, R4, R5, R8, R9",R0402,7,10kΩ,C25744
"R103, R104, R105, R106, R96, R97, R98, R99",R0402,8,1MΩ,C26083
"R17, R18, R19, R20, R76, R77, R78, R81",R0603,8,56kΩ,C23206
"R35, R55, R61, R66",R0402,4,20kΩ,C25765
R54,R0603,1,12kΩ,C22790
"R6, R7",R0402,2,5.1kΩ,C25905
"R79, R80, R82, R83",R0402,4,100kΩ,C25741
U1,TQFN-36_L6.0-W6.0-P0.50-BL-EP3.7,1,~,C58940
U14,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,~,C141380
"U23, U26, U28, U7",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,4,~,C55266
U3,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BL,1,~,C2969807
U9,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,1,~,C130026
"USB0, USB1, USB2, USB3, USB4",USB-C-SMD_TC-005,5,~,C6332285
X3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,24MHz,C15643
