Designator,Mid X,Mid Y,Rotation,Layer
C1,101.25,-81.8,90.0,top
C10,103.4,-59.05,0.0,top
C11,112.091431,-63.29121,0.0,top
C12,116.35,-68.75,270.0,top
C13,116.65,-65.75,90.0,top
C14,112.091431,-64.44121,0.0,top
C15,102.804459,-53.700084,270.0,top
C16,103.2,-63.05,270.0,top
C17,107.65,-66.85,90.0,top
C18,114.9,-67.45,270.0,top
C19,108.15,-69.7,270.0,top
C2,117.32625,-82.1,90.0,top
C20,107.9,-72.45,0.0,top
C4,108.186431,-51.62796,270.0,top
C5,116.2,-51.65,270.0,top
C6,117.336431,-57.64121,270.0,top
C7,105.9,-58.8,180.0,top
C72,109.549681,-51.62796,90.0,top
C74,114.849681,-51.62796,90.0,top
C8,114.65,-72.3,270.0,top
D10,127.873,-56.4,90.0,top
D12,59.078251,-59.265395,180.0,top
D14,59.028251,-77.765395,180.0,top
D16,59.028251,-96.265395,180.0,top
D18,59.028251,-114.765395,180.0,top
D8,124.573,-56.4,90.0,top
L2,116.7,-72.35,90.0,top
R1,117.32625,-75.6,90.0,top
R103,59.028251,-61.465395,180.0,top
R104,58.978251,-79.965395,180.0,top
R105,58.978251,-98.465395,180.0,top
R106,58.978251,-116.965395,180.0,top
R17,58.528251,-55.565395,0.0,top
R18,58.478251,-74.065395,0.0,top
R19,58.478251,-92.565395,0.0,top
R2,117.32625,-77.7,90.0,top
R20,58.478251,-111.065395,0.0,top
R3,117.32625,-79.8,270.0,top
R35,104.009181,-50.95771,0.0,top
R4,102.55,-81.75,90.0,top
R5,117.336431,-52.99121,270.0,top
R54,108.336431,-54.34121,90.0,top
R55,103.65,-60.25,0.0,top
R6,122.333472,-56.4,90.0,top
R61,105.6,-71.7,90.0,top
R66,114.85,-69.7,90.0,top
R7,130.123,-56.4,90.0,top
R76,58.578251,-62.965395,180.0,top
R77,58.528251,-81.465395,180.0,top
R78,58.528251,-99.965395,180.0,top
R79,106.1,-50.95,180.0,top
R8,115.736431,-53.44121,0.0,top
R80,106.15,-60.25,0.0,top
R81,58.528251,-118.465395,180.0,top
R82,102.7,-68.85,270.0,top
R83,117.336431,-60.75,270.0,top
R9,117.336431,-55.04121,90.0,top
R96,58.978251,-57.065395,180.0,top
R97,58.928251,-75.565395,180.0,top
R98,58.928251,-94.065395,180.0,top
R99,58.928251,-112.565395,180.0,top
U1,112.408931,-58.29121,270.0,top
U14,104.214967,-77.685033,90.0,top
U23,105.529932,-63.05,270.0,top
U26,105.220068,-67.9,90.0,top
U28,111.5,-68.092818,0.0,top
U3,111.55,-71.85,270.0,top
U7,105.204355,-53.721826,270.0,top
U9,112.435033,-79.111283,180.0,top
USB0,126.25,-52.0,0.0,top
USB1,54.478251,-59.215395,90.0,top
USB2,54.428251,-77.715395,90.0,top
USB3,54.428251,-96.215395,90.0,top
USB4,54.428251,-114.715395,90.0,top
X3,112.186431,-52.14121,0.0,top
