Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15, C18, C20, C25, C26, C27, C28, C29, C33, C35, C40, C51, C52, C53, C54, C55, C56, C57, C58, C59, C63, C65, C71, C8, C84, C85",C0603,28,1uF,C15849
"C10, C11",C0603,2,1nF,C1588
"C13, C16, C2, C22, C30, C31, C34, C38, C39, C4, C42, C43, C44, C45, C5, C60, C61, C62, C66, C67, C68, C7, C70",C0603,23,100nF,C14663
"C17, C21, C32",C1206,3,10uF,C13585
"C23, C24, C3",C0805,3,22uF,C45783
C6,C0603,1,100pF,C14858
"C64, C69",C0402,2,15pF,C1548
C9,C0603,1,10nF,C57112
"D1, D10, D11, D2, D4, D5, D6, D7, D8, D9",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,10,~,C32677
"D12, D14",SOD-123_L2.7-W1.6-LS3.7-RD-1,2,~,C8598
"FPC1, FPC2, FPC3, FPC4, FPC5, FPC6",FPC-SMD_20P-P0.50_XUNPU_FPC-05F-20PH20,6,~,C2856803
L1,IND-SMD_L4.0-W4.0,1,15uH,C602033
L2,L0805,1,10uH,C1046
LED1,LED0603-RD,1,~,C2286
"Q10, Q9",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2,~,C2150
"Q12, Q14, Q16, Q18, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q8",WDFN-5_L3.1-W3.1-P0.65-BL_1,12,~,C7543836
"R1, R2, R3, R4, R5, R6, R7",R2512 Shunt with Kelvin connections,7,5mΩ,C393074
R10,R0603,1,49.9Ω,C23185
"R100, R101, R103, R104, R105, R106, R107, R108, R96, R97, R98, R99",R0402,12,1MΩ,C26083
"R102, R109, R11, R12, R14, R15, R17, R18, R21, R22, R24, R25, R26, R27, R29, R30, R31, R32, R33, R34, R37, R38, R42, R43, R44, R47, R51, R52, R53, R58, R60, R64, R72, R73, R74, R78, R9, R95",R0603,38,10kΩ,C25804
"R13, R28, R46, R59, R65, R71, R76, R85, R86, R87, R88, R89",R0603,12,56kΩ,C23206
R16,R0603,1,120Ω,C22787
"R23, R39",R0603,2,1.5kΩ,C22843
"R35, R55, R61, R66, R67, R70",R0402,6,20kΩ,C25765
R40,R0603,1,20kΩ,C4184
R41,R0603,1,47kΩ,C25819
"R45, R48, R56",R0603,3,100kΩ,C25803
R50,R0603,1,12kΩ,C22790
R62,R0603,1,13kΩ,C22797
R68,R0603,1,1kΩ,C21190
"R77, R81, R90, R92, R93, R94",R0603,6,4.7Ω,C23164
"R79, R80, R82, R83, R84, R91",R0402,6,100kΩ,C25741
R8,R2725 Shunt with Kelvin connections,1,1mΩ,C469381
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,2,~,C318884
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,~,C2913202
U10,QFN-28_L5.0-W5.0-P0.50-TL-EP3.3,1,~,C964632
"U11, U16",TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,2,~,C2058366
"U13, U9",TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,2,~,C130026
"U14, U15",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,2,~,C141380
U17,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,~,C12084
U18,LGA-16_L3.0-W3.0-P0.50-TL,1,~,C15134
"U23, U26, U28, U30, U32, U7",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,6,~,C55266
U24,QFN-64_L9.0-W9.0-P0.50-BL-EP4.8,1,~,C1521556
U3,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BL,1,~,C2969807
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,~,C191884
"U41, U43, U44, U45, U46, U47, U48, U49",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,8,~,C5359091
U42,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,~,C970725
"USB0, USB1, USB2, USB3, USB4, USB5, USB6",USB-C-SMD_TYPE-C16PIN,7,~,C393939
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,24MHz,C15643
