Designator,Mid X,Mid Y,Rotation,Layer
C1,109.2,-77.3,180.0,top
C10,120.9,-92.75,90.0,bottom
C11,120.95,-89.75,270.0,bottom
C12,133.1,-83.6,180.0,top
C13,133.1,-81.91,180.0,top
C15,151.90975,-71.25,0.0,top
C16,112.7,-92.75,90.0,bottom
C17,101.9,-88.65,270.0,bottom
C18,108.9,-93.6,180.0,bottom
C2,108.1,-60.4,270.0,bottom
C20,132.75,-93.0,180.0,top
C21,126.5,-87.95,180.0,top
C22,122.25,-87.75,0.0,top
C23,130.15,-87.15,270.0,top
C24,130.15,-91.3,90.0,top
C25,108.65,-66.05,270.0,top
C26,151.90975,-86.7,0.0,top
C27,151.90975,-102.15,0.0,top
C28,151.90975,-117.6,0.0,top
C29,123.9,-98.25,90.0,bottom
C3,110.15,-59.85,270.0,bottom
C30,124.8,-117.4,90.0,top
C31,120.0,-96.75,0.0,top
C32,119.6,-103.55,0.0,top
C33,151.8875,-133.07,0.0,top
C34,128.2,-70.55,0.0,bottom
C35,128.2,-68.85,0.0,bottom
C38,133.6,-121.4,270.0,bottom
C39,145.0,-74.55,0.0,bottom
C4,107.95,-71.5,180.0,top
C40,105.85,-130.85975,270.0,top
C42,127.5,-67.2,90.0,top
C43,115.1,-128.05,0.0,top
C44,132.05,-134.15,90.0,top
C45,144.1,-71.15,270.0,top
C5,109.2,-75.6,180.0,top
C51,145.75,-68.6,90.0,bottom
C52,144.45,-82.95,90.0,bottom
C53,145.3,-97.5,270.0,bottom
C54,145.2,-115.15,90.0,bottom
C55,126.5,-98.35,270.0,bottom
C56,114.85,-126.25,180.0,bottom
C57,145.1,-129.4,90.0,bottom
C58,103.6,-128.25,180.0,bottom
C59,141.45,-94.75,270.0,top
C6,117.75,-92.1,270.0,top
C60,143.35,-94.75,270.0,top
C61,143.8,-101.9,180.0,top
C62,143.8,-100.25,180.0,top
C63,139.75,-94.75,270.0,top
C64,140.85,-109.95,270.0,top
C65,143.2,-112.2,180.0,top
C66,134.1,-110.25,90.0,top
C67,132.4,-110.25,90.0,top
C68,129.3,-106.2,180.0,top
C69,136.1,-109.95,90.0,top
C7,121.6,-92.75,0.0,top
C70,143.55,-109.0,180.0,top
C71,143.6,-107.55,180.0,top
C8,133.1,-85.35,180.0,top
C84,127.5,-70.3,270.0,top
C85,115.125,-130.0775,0.0,top
C9,133.1,-87.1,180.0,top
D1,151.90975,-66.45,270.0,top
D10,151.8875,-128.27,270.0,top
D11,110.65,-130.85975,180.0,top
D12,115.35,-109.85,270.0,top
D14,117.35,-109.85,270.0,top
D2,151.90975,-81.9,270.0,top
D4,127.7,-139.8,270.0,top
D5,151.90975,-97.35,270.0,top
D6,142.35,-139.6,270.0,top
D7,112.1,-117.3,0.0,top
D8,112.6,-99.7,0.0,bottom
D9,151.90975,-112.8,270.0,top
FPC1,159.65975,-69.1,270.0,bottom
FPC2,159.65975,-84.55,270.0,bottom
FPC3,159.65975,-100.0,270.0,bottom
FPC4,159.65975,-115.45,270.0,bottom
FPC5,159.6375,-130.92,270.0,bottom
FPC6,108.0,-138.60975,0.0,bottom
L1,126.4,-91.35,0.0,top
L2,130.15,-82.9,90.0,top
LED1,101.8,-61.4,180.0,top
Q10,113.75,-86.429932,180.0,bottom
Q12,155.0,-84.45,270.0,bottom
Q14,123.164736,-106.2,270.0,bottom
Q16,126.45,-105.55,90.0,bottom
Q18,123.179536,-110.3,270.0,bottom
Q20,126.45,-109.65,90.0,bottom
Q21,123.2,-114.393234,270.0,bottom
Q22,126.48075,-113.75,90.0,bottom
Q23,155.05,-99.7,270.0,bottom
Q24,154.95,-115.5,270.0,bottom
Q25,155.35,-130.9,270.0,bottom
Q26,113.65,-132.25,0.0,bottom
Q8,155.25,-69.1,270.0,bottom
Q9,103.6625,-84.329932,180.0,bottom
R1,149.10975,-62.7,0.0,bottom
R10,119.25,-92.1,270.0,top
R100,155.8875,-136.72,0.0,top
R101,102.2,-134.85975,270.0,top
R102,145.1,-132.7,270.0,bottom
R103,149.5,-65.9,270.0,top
R104,156.6,-77.35,0.0,top
R105,156.567,-92.85,0.0,top
R106,156.6,-108.3,0.0,top
R107,156.6,-123.75,0.0,top
R108,113.0,-131.50975,270.0,top
R109,103.6,-130.0,180.0,bottom
R11,127.8,-79.75,90.0,bottom
R12,128.2,-65.75,0.0,bottom
R13,151.90975,-69.3,0.0,top
R14,124.5,-139.35,180.0,top
R15,124.5,-140.95,180.0,top
R16,114.75,-117.25,90.0,top
R17,117.95,-83.0965,270.0,bottom
R18,116.45,-83.0965,270.0,bottom
R2,149.10975,-78.15,0.0,bottom
R21,128.2,-72.65,180.0,bottom
R22,128.2,-67.25,0.0,bottom
R23,104.9,-61.4,0.0,top
R24,114.95,-83.0965,270.0,bottom
R25,113.45,-83.0965,270.0,bottom
R26,119.45,-83.1,270.0,bottom
R27,120.94923,-83.092478,270.0,bottom
R28,151.90975,-84.75,0.0,top
R29,127.81988,-76.77032,90.0,bottom
R3,149.10975,-93.6,0.0,bottom
R30,143.85,-98.7,180.0,top
R31,114.0,-120.1,0.0,top
R32,111.95,-83.0965,270.0,bottom
R33,110.45,-83.0965,270.0,bottom
R34,145.55,-140.75,0.0,top
R35,149.9,-73.45,270.0,top
R37,109.1965,-78.9,0.0,top
R38,119.1,-89.75,270.0,bottom
R39,102.2,-92.05,180.0,bottom
R4,149.10975,-109.05,0.0,bottom
R40,111.1,-92.75,90.0,bottom
R41,105.9,-93.6,0.0,bottom
R42,108.7,-69.1,90.0,top
R43,111.25,-86.6,270.0,bottom
R44,106.25,-84.65,270.0,bottom
R45,117.6,-92.75,270.0,bottom
R46,151.90975,-100.3,0.0,top
R47,119.1,-92.75,90.0,bottom
R48,117.6,-89.75,270.0,bottom
R5,149.0875,-124.52,0.0,bottom
R50,143.5,-110.6,0.0,top
R51,129.35,-104.6,180.0,top
R52,129.35,-102.8,0.0,top
R53,134.1,-62.95,0.0,top
R55,149.90975,-89.05,270.0,top
R56,119.25,-89.05,270.0,top
R58,131.0965,-62.95,180.0,top
R59,151.90975,-115.8,0.0,top
R6,117.9,-133.85,270.0,bottom
R60,133.5,-131.2535,270.0,top
R61,149.90975,-104.2,270.0,top
R62,117.7,-89.05,270.0,top
R64,132.0,-131.2535,270.0,top
