Designator,Mid X,Mid Y,Rotation,Layer
C1,117.05,-111.25,180.0,top
C10,117.05,-109.5,180.0,top
C11,120.1,-109.45,180.0,top
C12,135.31,-79.2265,0.0,top
C13,135.31,-80.9165,0.0,top
C14,114.95,-73.85,90.0,top
C15,179.30375,-93.70375,270.0,top
C16,189.05,-90.834,0.0,top
C17,193.3,-90.75,180.0,top
C18,188.35,-93.284,90.0,top
C19,108.95,-93.65,90.0,top
C2,117.05,-114.4,180.0,top
C20,140.05,-97.0,180.0,top
C21,133.7,-90.25,180.0,top
C22,129.3,-92.1,0.0,top
C23,137.45,-91.15,270.0,top
C24,137.45,-95.3,90.0,top
C25,200.45,-97.2375,270.0,top
C26,197.9,-101.6875,0.0,top
C27,195.4,-100.9875,90.0,top
C28,200.5,-101.0375,90.0,top
C29,120.15,-82.8,180.0,top
C3,119.55,-114.1,90.0,top
C30,123.825375,-82.2215,270.0,top
C31,145.0,-86.75,0.0,top
C32,145.0,-93.32475,0.0,top
C33,135.33,-77.5365,0.0,top
C34,147.29,-79.64,180.0,top
C35,147.29,-81.34,180.0,top
C36,120.05,-76.65,180.0,top
C37,111.9,-76.6,180.0,top
C38,195.95,-78.0,180.0,top
C39,188.425,-78.8,270.0,top
C4,110.65,-94.2,270.0,top
C40,164.5145,-80.0,270.0,top
C41,157.55,-79.45,270.0,top
C42,171.8645,-80.0,270.0,top
C43,179.25,-86.95,270.0,top
C44,179.1645,-80.0,270.0,top
C45,172.7075,-100.5575,90.0,top
C46,157.7,-100.5925,90.0,top
C47,165.3,-100.5575,90.0,top
C48,150.95,-101.05,90.0,top
C49,111.8,-82.95,180.0,top
C5,118.2,-94.2,270.0,top
C50,195.95,-84.35,180.0,top
C51,188.275,-85.05,270.0,top
C6,126.05,-96.3,270.0,top
C7,128.65,-97.1,0.0,top
C8,140.4,-89.35,180.0,top
C9,140.4,-91.1,0.0,top
CARD1,112.8,-65.36225,180.0,top
D1,128.45,-90.25,180.0,top
D2,106.2,-90.25,180.0,top
D3,128.45,-88.0,180.0,top
D4,117.536984,-73.903191,90.0,top
D6,112.4,-73.9,90.0,top
D7,105.75,-73.9,90.0,top
D8,197.5,-92.15,0.0,top
D9,133.75,-88.0,0.0,top
FPC1,129.39,-59.84025,180.0,top
FPC10,191.34,-73.275,180.0,top
FPC11,206.79,-59.875,180.0,top
FPC12,206.79,-73.275,180.0,top
FPC13,206.8,-120.414125,0.0,top
FPC14,206.8,-106.966875,0.0,top
FPC15,191.35,-120.379375,0.0,top
FPC16,191.35,-106.979375,0.0,top
FPC17,175.85,-120.379375,0.0,top
FPC18,175.85,-106.979375,0.0,top
FPC19,160.45,-120.379375,0.0,top
FPC2,129.39,-73.2875,180.0,top
FPC20,160.45,-106.979375,0.0,top
FPC21,144.85,-120.379375,0.0,top
FPC22,144.85,-106.979375,0.0,top
FPC23,129.4,-120.379375,0.0,top
FPC24,129.4,-106.979375,0.0,top
FPC3,144.84,-59.875,180.0,top
FPC4,144.84,-73.275,180.0,top
FPC5,160.34,-59.875,180.0,top
FPC6,160.34,-73.275,180.0,top
FPC7,175.74,-59.875,180.0,top
FPC8,175.74,-73.275,180.0,top
FPC9,191.34,-59.875,180.0,top
I2C1,210.899,-99.5,90.0,top
I2C2,210.8625,-80.5,90.0,top
L1,133.6,-93.65,0.0,top
L2,132.59,-78.606,90.0,top
LED1,99.8,-57.2005,90.0,top
Q1,119.65,-78.915,180.0,top
Q2,115.8,-80.435,0.0,top
Q3,195.6,-80.165,180.0,top
Q4,191.75,-81.685,0.0,top
Q5,119.6251,-85.0852,180.0,top
Q6,115.8,-86.585,0.0,top
Q7,195.55,-86.55,180.0,top
Q8,191.55,-88.035,0.0,top
R1,117.05,-112.8,0.0,top
R10,134.9,-97.1,0.0,top
R11,110.0,-73.9,270.0,top
R12,120.0,-73.903191,270.0,top
R13,168.45,-87.7,180.0,top
R14,165.0,-90.75,0.0,top
R15,105.5,-96.6,0.0,top
R16,108.3,-73.9,270.0,top
R17,165.0,-86.1,0.0,top
R18,165.0,-87.65,0.0,top
R19,108.9,-86.0,180.0,top
R2,117.05,-106.3,0.0,top
R20,108.9,-79.4,180.0,top
R21,147.29,-78.02,0.0,top
R22,147.29,-82.94,180.0,top
R23,99.8,-60.45,270.0,top
R24,207.7,-96.9,180.0,top
R25,207.7,-102.0,180.0,top
R26,165.0,-93.85,0.0,top
R27,165.0,-92.3,0.0,top
R28,168.45,-90.8,180.0,top
R29,168.45,-89.25,180.0,top
R3,117.05,-107.85,180.0,top
R30,168.45,-92.35,180.0,top
R31,123.825375,-79.1785,90.0,top
R32,197.6535,-94.7375,0.0,top
R33,197.65,-96.3375,0.0,top
R34,115.2,-76.6,0.0,top
R35,191.2,-78.05,0.0,top
R36,115.2,-82.95,0.0,top
R37,191.05,-84.35,0.0,top
R38,200.0,-84.0,270.0,top
R39,190.9,-99.984,180.0,top
R4,120.1,-106.3,0.0,top
R40,188.35,-99.2375,90.0,top
R41,188.35,-96.2875,270.0,top
R5,131.95,-97.1,0.0,top
R6,126.05,-93.2,270.0,top
R7,120.1,-107.85,180.0,top
R8,165.0,-89.2,0.0,top
R9,108.75,-96.6,180.0,top
SCREEN1,159.6875,-90.0,270.0,top
SW1,114.4,-91.95,90.0,top
SW2,122.0,-91.95,90.0,top
U1,105.25,-107.215,180.0,top
U10,192.65,-96.0375,270.0,top
U11,141.35,-80.678875,270.0,top
U12,117.8,-82.85,180.0,top
U13,193.6,-84.3,180.0,top
U17,127.335,-80.7775,0.0,top
U18,145.0,-90.0,270.0,top
U2,117.75,-76.65,180.0,top
U21,161.2145,-80.0,180.0,top
U22,154.2645,-79.45,180.0,top
U23,168.5645,-80.0,180.0,top
U24,175.9145,-86.85,180.0,top
