Designator,Mid X,Mid Y,Rotation,Layer
C1,200.04975,-46.687248,180.0,top
C10,150.450251,-91.812752,0.0,top
C2,200.04975,-90.687248,180.0,top
C3,150.450251,-69.812752,0.0,top
C4,200.04975,-79.687248,180.0,top
C5,150.450251,-80.812752,0.0,top
C6,200.04975,-68.687248,180.0,top
C7,150.450251,-102.812752,0.0,top
C8,150.450251,-58.812752,0.0,top
C9,200.04975,-57.687248,180.0,top
R1,198.95475,-53.237248,180.0,top
R10,149.44525,-74.262752,180.0,top
R11,198.95475,-75.237248,180.0,top
R12,201.05475,-75.237248,0.0,top
R13,151.545249,-96.262752,0.0,top
R14,149.44525,-96.262752,180.0,top
R15,151.545249,-52.262752,0.0,top
R16,149.44525,-52.262752,180.0,top
R17,198.95475,-64.237248,180.0,top
R18,201.05475,-64.237248,0.0,top
R19,151.545249,-85.262752,0.0,top
R2,201.05475,-53.237248,0.0,top
R20,149.44525,-85.262752,180.0,top
R3,198.95475,-97.237248,180.0,top
R4,201.05475,-97.237248,0.0,top
R5,151.545249,-63.262752,0.0,top
R6,149.44525,-63.262752,180.0,top
R7,198.95475,-86.237248,180.0,top
R8,201.05475,-86.237248,0.0,top
R9,151.545249,-74.262752,0.0,top
U1,200.0,-50.0,90.0,top
U10,150.5,-88.5,270.0,top
U2,200.0,-94.0,90.0,top
U3,150.5,-66.5,270.0,top
U4,200.0,-83.0,90.0,top
U5,150.5,-77.5,270.0,top
U6,200.0,-72.0,90.0,top
U7,150.5,-99.5,270.0,top
U8,150.5,-55.5,270.0,top
U9,200.0,-61.0,90.0,top
